customer_review,NPS Score
" My first time on Turkish. It's not a bare-basics, race-to-the-bottom product, but it's far behind Asian carriers and Qatar Airways in warmth and sophistication. There is a lot of confusion both in the cockpit and at the Istanbul transit area. Passengers are given the wrong information. My flight ex-KUL taxied all over the airport for 2 hours before returning to gate for refuelling. (We were just about to take off on a 11.5-hour journey with not enough fuel? Interesting.) That just about put paid to everyone's plans to catch their connecting flights. The gate number for my Geneva flight was different from what the entertainment system showed us right before landing (as I found out after sprinting, laptop and shoes in hand, to the wrong gate). Very stressful. On board, food is okay but same-same across sectors. English is not great unless pre-recorded. Male crew are quite patient and hard-working. The female staff can be pleasant when they want to be. Sadly, many make it very clear that having seen the world and having put peroxide highlights in their hair, pouring coffee in economy class is not where they want tp be. (How hard is it to say ""Good evening"" to a passenger during boarding, instead of giving an icy, silent stare?) In the future, unless I decide to travel to one of the secondary destinations served by TK, such as Salzburg or Lyon, my preference will remain with the more established airlines.",Passive
" Maputo to Almaty via Istanbul. Turkish Airlines has the worst customer service and IT-systems. They charged me for a flight but due to system error the funds disappeared from my account without the payment showing in their system. Their customer rep gave me as an only alternative to wait for 7 business days and buy the tickets then. Of course I could've just chucked another 1,500 USD in and tried if their system would've worked on the second time around.",Detractor
"  Booked business class for the comfort, travelled from Toronto to Istanbul, the flight was good rested well. The flight from Istanbul to Karachi was a disaster, none of the seats were working to recline or adjust the foot rest. People should think twice before purchasing a business class. On top of they take the headphones 20 min before landing which is so annoying. Overall horrible from Istanbul to Karachi.",Detractor
 Berlin to Manila via Istanbul. Turkish Airlines lost my luggage. It was delivered only 36 hours after my arrival. The worst thing was the way of delivery. A very rude guy brought the luggage to my place. He threatened me to throw the luggage on the street if i don't come down the stairway to pick it up. I complained via the feedback online form and now i am messaging with Turkish Airlines for more than 6 weeks. They refuse to give me any compensation for the stress. For me it's the poorest customer service i ever experienced from an airline I will never fly Turkish Airlines again.,Detractor
" Istanbul to London. This airline is running a baggage scam. Be very aware. On their website they claim to allow free 2 bags (check in up to 32 kilos each) . When you arrive at counter , they don't speak English and keep telling you are not allowed any bags and must pay for it. They leave you with no option. I had to pay $400 dollars for my two bags , weighing 20 mg each. Avoid this airline like the plague. They do not speak English and are scamming people with this whole luggage scam. It's basically some sort of legalized robbery.",Detractor
 Athens to Havana via Istanbul. Amazing crew service. On time. Great selection of music and movies on the IFE. The food was delicious with 2 choices and menu card and real cutlery. Also amenity.,Promoter
"  Vienna to Istanbul. Our morning flight was delayed then eventually cancelled due to the bad weather which is understandable. We had to rushed back to counter for them to issue another boarding pass and during this time it was already chaotic. Then they gave us options whather to take the next earliest flight but will arrive in Istanbul Sabiha airport and not Istanbul Ataturk airport. Another option is to take another flight but had to wait for another 9 hours. We took the first option because Turkish airlines promise that our luggage will be sent to Sabiha airport when we landed. Once landed, waited for around 45 mins - 1 hour for our luggage but none arrived including others that took the same option as ours. Few minutes later one of the staff came and informed us that all the luggage are left in Vienna. This became even more chaotic as passengers have other arrangements and obviously requires the luggage. The staff told us to file baggage lost at the counter and the queue itself took almost 2 hours. Turkish Airlines again made another promise that they would send it by the next morning to our hotel but again we still have not receive our luggage the next morning. Fortunately our hotel staff helped us to follow up on this matter and again Turkish Airlines made another promise that the luggage will be sent tomorrow evening. So day 3 In Istanbul with recycled sweaty clothes and no luggage. We are really hopeful that it will be sent by tomorrow evening as we are going back in few days. The trip from Sabiha airport to our hotel itself costed us twice the price. Pray for our luggage. Hope Turkish Airlines take this matter seriously.",Detractor
" Tel Aviv to Singapore via Istanbul. Ground service is awful, I am Elite+ and get no gold lines. Boarding is a mess. Customer service awful. They deducted miles from my accounts and they don't care, give me weird and general answers over the email. Cabin crew was ok, but missed several safety classes. I paid for emergency seat, Turkish Airlines decided to give to someone else the seat - this guy is Turkish Airlines employee - I saw him with joking around with the cabin crew and they also treated him with some business class beverages, so Turkish Airlines is also corrupted. In Tel Aviv there is no special line for the gold members because Turkish Airlines also doesn't care about the so many Israeli passengers.",Detractor
 Istanbul to London. On our flight back from Istanbul we handed our baby stroller to Turkish Airlines. When we arrived to London we realized that the stroller was damaged. We started a claim case there at Heathrow airport. An online account was opened for us through which we filled in more information and received an evaluation which said that that THY would compensate the repair. We ordered two pieces of replacement covers and sent the receipts to THY. This was on the 19th of January. Since then we've been trying to resolve the case but we are being ignored. Today I talked to customer service for the 5th time. Every time I'm told that we should hear back in couple days but we never do. This is such a shame. What we claim is not even that much. If we were this responsive when we owed any money to THY we would be fined multiple times. They are getting away with it. It's such a shame for a company which claims to be world class. It's obvious that the quality they stand for is disappearing quickly.,Detractor
" I am flying from Vienna to Singapore with a layover in Istanbul for 11 hours. I selected this long layover knowing that I had much shorter routes with the only intention of taking the Sunday 4:00 pm free tour around the city that Turkish Airlines provides to itÂ´s travelers when they have long wait at the airport. Prior my flight, I confirmed via phone with Turkish Airlines that there was no need to make a reservation and that as long as 1 person would like to make the tour, that would be sufficient to do it and that I needed to be at hotel desk 30 min before the start. As soon as we landed I rushed to the desk office but the passport control took about 50 minutes and I arrived at the desk at 3:50 pm (20 min later than expected). Although I was late, I did see that the tour group was there with the guide, getting ready to leave. I asked at the desk if I could join and they told me ""No, tour is finished"". I was not going to take no for an answer as I had chosen Turkish Airlines and a 11 hours layover flight (instead of 3) to jump on that tour. The manager approached me in a very rude way and told me that she had to leave and that the buses were full. She said that she could put me in the tour but that there was no space for me (in the website clearly states that as long as 1 person will be interested in the tour, it will be arranged). According to her excuse, she had 62 people ready to go and that was exactly the maximum amount that she could take. It is interesting, to say the least, that apparently I was so unlucky that I was the only person that was left out out of an exact number of 62 people. It is really hard to believe that the group of tourist standing next to me at that same moment was 62, when it looked more like 20 people. This person was extremely rude and zero customer oriented and did nothing to help me in that situation or to find an alternative. All she did was to yell at me and say that if I was not happy that I should open a claim (so that's what I'm doing now). I would like to highlight that all I wanted was to do the tour on my way to Singapore and it would have been really easy for her to make it happen. Instead, now I want a compensation.",Detractor
" Seychelles to Birmingham via Istanbul. Absolute joke of an airline. Booked a last minute ticket to get back to the UK for a family emergency, currently sat grounded on the tarmac at Istanbul with a small baby- it's been 2 hours and they claim it'll be another hour at least and just receiving a long list of stupid excuses and then no reason at all for another hours' delay with the most recent update. Should have listened to the reviews here",Detractor
  Kathmandu to Munich via Istanbul. This is the worst service I have ever seen. Airline changed the flight time and instead of 2 hr transit we need to stay 14 hr at this Istanbul airport. And they didn't provide us visa and hotel to stay. This is the first and last I'm traveling with this airline.,Detractor
" Sharm el Sheikh to Frankfurt via Istanbul. Both outbound flights quite okay. Pleasant staff, my husband's normal meal was average. My special meal was rather nice, twice the same. Film choice very poor, mainly testosterone filled movies or old sob stuff. Very few films available in German. English films hard to understand because of bad sound system and/or cheap earbuds. Return: On time, same poor entertainment. Although my low calorie special meal is registered in my frequent flyer profile, on both legs I had to accept normal food, the second inedible half raw scambled eggs. TK's good service is decreasing!",Passive
" Istanbul to Male. I can not believe Turkish Airlines has 5 out of 10 reviews here. I fly with all major and quite a few minor airlines throughout the year and I have never got better food, service, comfort.",Promoter
" Tel Aviv to Brussels via Istanbul It's not my first time i'm flying with Turkish , it's the airline I like the most to fly with. Mostly on time, on flight entertainment perfect, good food, kind staff.",Promoter
" Baku to Istanbul. Frequent traveler of Turkish Airlines and somehow I see that quality decreases over time. Still smiling crew members, good food and wide drinks menu (incl spirits and wine). The only downside is entertainment service - screen not working properly and audio selection very limited. Also they could change food menu more often.",Passive
" Sao Paulo to Istanbul. Terrible service, amenity kit was gave to other Business Class passengers and not to me. In a 12 hours flight, one meal as the breakfast was not serviced even when boarding I said would rest first part of the flight and eat later, they said ok, but later said meal is not served on demand, really rude flight attendants. Asked water, they said would bring to the seat still waiting. The dinner course, was terrible, never had a so dry and hard meat, asked to change they said no extra meal. This is the kind of treatment you have at Turkish Airlines Business Class.",Detractor
Istanbul to Frankfurt on A330-300. Cabin crew were very careful. We arrived to Frankfurt in time. We traveled with Turkish airlines several times and we will do it again. We recommend it.,Promoter
"  Toronto to Istanbul. Very hostile behaviour at check in counters. I am entitled to take two bags, 23 kegs each but I am carrying one bag with 23 kegs and one carry on luggage with 11 kgs. The lady at the rudely refused my carry on luggage due to over weight for 3 kgs. I explained her that instead of two bags I am taking one, as such you should consider 3 kgs excess in my carry on luggage but she was not a mood to listen anything from me. This will be my first and last trip using Turkish Airways. I will not recommend anybody to take this Airline.",Detractor
" Istanbul to Dushanbe. Awful!! Flight was supposed to leave at 9 pm. At check in, told flight was delayed by nine hours, passengers had to stay at airport. No place to sleep, zero assistance or empathy from ill-informed, rude, Turkish airlines employees, whose ability to speak English was very limited. Left to sleep on floor of airport for nine hours. Will never fly again with them.",Detractor
" Istanbul to London. When I got to the departure lounge, it was a 30 minute wait to pass immigration officials and to have my passport checked, A number of families moving to the UK slowed down the process. Pre Boarding failed at the families on hand did not understand English or Turkish languages. Boarding on to a new B737 was quick and excess cabin bags was controlled strictly at the gate. The cabin was very new, with a light and bright feel. The seat where average economy seats with reasonable leg room. The plane featured over head TV screens that showed a cheesy lego based pre flight video. The cabin crew was very good and offered an efficient service. Drinks where served after takeoff and a very Turkish meal was served an hour later, featuring rice, vegetables and kebab meat. A vegetarian option was available that looked like couscous. Drinks included fruit juice, sodas, beer and white wine. Inflight entertainment was limited to music and radio on 8 channels. Overall it was a pleasant flight and the seats where OK.",Passive
" Boston to Amsterdam via Istanbul. Great flight, no delay. The staff were very kind and helpful during the flight. The entertainment system was great, lots of new movies/series. My preferred food is seefood based upon my miles and smiles profile. I got grilled salmon and shrimps. It was like eating at a good restaurant. No complaints at all",Promoter
" Tashkent to Istanbul. Check in Tashkent was chaos, People where checking in box's of eggs and fresh produce to sell in Istanbul. I quickly slipped into the business line and saved 20 minutes from the check in process. When we all assembled in the depart lounge the pre boarding sequence went out of the window. People standing closest to the door where on 1st. This ruffled a few business travellers big time. The airplane was a well used and tired aircraft, the interior was well used & featured cramped and un comfortable economy seats. Boarding was swift and the crew did a manual safety briefing, before a quick take off. The inflight services was a limited range of drinks and tea. The meal options where greasy riced based meals with donner meats. There was no flight entertainment. The flight was over soon enough and we disembarked on a jet way with easy connection to my next flight.",Passive
" Istanbul to Tashkent. Got to the departure longue to find utter chaos, 100s of local people trying to board a flight, each carrying with 3 or 4 cabins bags, wedding dresses, quilts and electrical goods. The Turkish airlines staff did their best to bring control and remove bags from shopping happy Uzbeks. The boarding sequence did not work either. Reminds me of a rugby scrum at its best. We were bussed out to a well used aircraft with a very dated cabin. When I got to my window seat I found both seats full of stacked bags. Which had to be removed to the frustration of their owner. Turkish Airlines had an extra 6 or 7 staff on the flight trying to move what seemed 2 tonnes of bags into the hold and to sit people in there assigned seats. The flight had a delayed takeoff, which gave you time to look at a very tired interior, seats were old and lacked support. Leg room was zero and there was no IFE or video screens. The crew gave a manual safety demo and had to control people who wanted to change seats. The flight itself was OK, there was a basic drinks service and a simple meal of kebab meat and rice, there was no vegetation options that I could see off. The crew enforced a strict liquor policy from take off which worked well. Landing was OK and we where loaded into a bus from a remote parking space. Transit through Visa control and baggage collection was fast by Uzbek standards.",Detractor
" London to Istanbul. The departing gate and boarding experience was good, people boarded quickly and the sequence worked well. The cabin of this new 737 was clean and bright, for a economy seat the legroom was ok with a standard seat pitch of 34 or so inches. A cheesy safety video was shown before takeoff featuring lego figures. A little too cheesy after been shown twice, once in Turkish and once in English. Drinks were served after take off in a punctual fashion and was soon followed by a superb in flight meal of lamb kebab and rice, a good looking vegetarian Dahl was available too. Drinks included average wines and rice beer, along with soft drinks and Turkish coffee. The cabin crew where good and well turned out, including a chef working in the galley for business class passengers. The rest of the flight was fine. This plane did not feature IFE, other than some magzines. We were disembarked at a remote stand and spent 20 minutes on a bus trundling across a dark airfield to a packed transfer hall. Cannot wait for the new airport.",Promoter
" I was flying from Alexandria to Atyrau through Istanbul on Jan 15, 2019. The luggage was tags were printed fine all the way to Atyrau but the Turkish Airlines Supervisor asked the agent to check it only yo Istanbul. He was rude and obnoxious. He claimed that this was because I have two different ticket numbers which is very common anywhere else on earth. He said the same to someone else who was going to London but he received a phone call from superiors to make this passenger luggage go all the way to London. When I complained, he threatened to float my flight. He was shouting at everyone and when when his colleagues offered to intervene, he shut them down. I fly on Turkish Airline from Cairo every 28 days and I never had this problem. But now never again. I had to get a 50 Euro Visa to and clear customs in Turkey and collect my luggage to check in again because this incompetent airline staff. Never again Turkish Airlines.",Detractor
 Mumbai to Los Angeles via Istanbul. The estimated departure of TK9 (BOM-IST) was 6:55 am which actually departed at 7:55 am it was delayed because of some connecting flight and other reasons. My experience in both flights form BOM-IST and IST-LAX was way too different. BOM-IST review: Communication: The communication done by the pilot with passengers was awful they spoke something in Turkish and mumbled some English. All I understood was word THANK YOU. The quality of speakers used for the announcement was very cheap. The flight crew had a very different attitude in this flight they didn't communicate well with passengers and was just doing work like robots. Not listening to queries and moving on with next passengers. They didn't even greet their incoming passengers. Food quality was OKish. No menu card was provided. Overall the Flight was clean with old interfaces. My front seat was torn apart with some internals clearly seen. IST-LAX review: The communication was very clear in English the speakers were fine. The cabin crew was friendly and accommodating understood passengers well and heard all my queries. Helped me with my bags. Greeted us while coming in and going out. Food: Food was awful. When given meal preference was an Asian vegetarian meal please for god sake dont serve ITALIAN PASTA. Menu card was provided. Flight: This flight was cleaner with newer interfaces and good seats. The flight arrived 1 hr late. Overall Review of Turkish Airlines: Istanbul airport security lady was extremely rude. She can't even understand basic English. Passengers are in hurry and tired and in that mindset even such small things make a big impact on passengers. My Mumbai to Istanbul flight was awful and Istanbul to Los Angeles was good. They do really discriminate passengers from different regions. Providing different services to different passengers.I have traveled quite a lot but never gotsuch treatment.,Detractor
" Istanbul to Beirut. Rude, arrogant, stressed and unapologetically inattentive crew. Wifi impossible to connect to, or simply malfunctioning. Really bad experience.",Detractor
" Kilaminjaro to Chicago via Istanbul. My problems began the day before the flight, I had booked a Turkish Airlines award business class ticket using United Mileageplus miles months earlier, but the day before noticed I couldn't select my seat and part of my flights were missing from the itinerary. I called Turkish Airlines to confirm everything was but for some reason I couldn't select my seat, so to arrive to the airport early. I arrive the next day to the airport 3 hours early in Kiliminjaro airport in Tanzania and it turns out there is a massive problem with my ticket. A Turkish airlines agent later said it was ""it was award ticket and NO REC on your onward boarding pass"""" which I have no idea what it means but the agent was smashing away at the keyboard for hours trying to get me on the flight to the point they had to hold the flight to Istanbul. At the very last minute I was finally I was able to board and the Turkish airlines agent said I shouldn't have any more problems, but once I get to Istanbul I need to get my next boarding pass and that my bag would arrive just fine to Chicago (both of these turned out to be false) Already having a bad day,I was informed that for the duration of the flight I would only receive economy service and meals despite booking a business class ticket. Once I arrived to Istanbul, more problems began as the transfer desks agents were extremely unhelpful just ping ponging me from one desk to the other with no agent willing to print my boarding pass or ticket. As it got closed to boarding time I told a transfer desk agent I'm not leaving until they print me my pass which I paid for and I was bound to miss my flight! In the end a desk agent in Istanbul wrote me ticket by hand 30 minutes before the flight was set to take off and told me to run! This ticket got me past security and it seemed everything was ok until I got to the gate and once again they denied me boarding, while they grabbed my passport and the agents again smashing on a computer keys trying to get me boarded. Then they tried to claim that my ticket was only economy until I showed them the receipt, at this point they were once again, holding the next plane up for me. At the very last second they finally let me board the flight to Chicago. Once arriving to Chicago I was once again greeted with more bad news. My bag had not made it so I asked them to ship the bag to Mexico City (where I live). They said I would need to pick it up at the airport ""the next day."" Well turns out the next day was a whopping 5 days later. When the bag arrived it was completely destroyed. The nightmare doesn't end there. I figured they would be quick to provide compensation over such an incident, especially over an expensive long distance business class ticket but was I wrong. Once I began the process I sent them all relevant details including pictures of my damaged bag, and receipts totalling about $500 for various purchases I had to make for the 5 days I didn't have my bag. Then they said that they couldn't pay me anything for my damaged bag because they needed a ""repair invoice"" when they originally said a financial request will suffice in lieu. At that point I had already thrown my damaged baggage away.",Detractor
" Stockholm to Bangkok via Istanbul. Flying with TK is a good start of the vacation, the price was very compatible. This trip started with a nearly empty business class from Stockholm. The lounge in Istanbul is huge with a lot of different choices. The flight to Bangkok in a full business class was really nice. We started with a glass of champagne and then food. Everything went very smooth. We received a fast track pass in Bangkok to pass immigration recommend Turkish Airlines.",Promoter
" Lahore to Frankfurt via Istanbul in business class. Extremely disappointed with this pathetic airline. Lahore to Istanbul the aircraft was A330-300. And everything about the flight was sub standard. The seat layout was at least 20 years old, when business class seats hardly just reclined. No storage space. The kit they provided had nothing in it. Cheap stuff. For an around 6 hour flight, no menu cards were provided. The crew serving never bothered to ask if passengers needed anything. One had to look around what others were eating and ask for it. The worst part was the next flight, from Istanbul to Frankfurt. It was again A330-200. And everything on this flight was perfect. They provided a menu card, the seats layout was modern. Like proper fully reclining seats. I feel awful the way they discriminate with flights from Pakistan.",Detractor
" Durban to Houston via Istanbul. We had booked our flights from Durban to Houston (return) which included a stopover of 2 days in Istanbul whereby our journey from Istanbul to Houston was on 16th December 2018 on flight number TK33 at 2.30pm. We had requested wheelchair service in advance. We checked-in on time at Istanbul Airport and waited more than 1 hour for the wheelchair assistant who never came and had to walk by ourselves to the gate. By the time we reached the gate we were denied boarding as they said that we are late. As a result, we had to buy another ticket on Turkish Airlines for 18th December 2018 at the airport which cost us TRY 21519 and this was through no fault of our own. The problem is that the wheelchair assistance never turned up which is the main reason for us being late. We have flown with other airlines and never faced this issue. It was our first time with Turkish Airlines and has been a terrible experience.",Detractor
" New York to Thessaloniki via Istanbul. I have so many bad words in my mind about this airline. It was the first and the last time I chose it. My return trip was yesterday, JFK to Ataturk, due to a 2.5 hours delay I lost my connection flight to Thessaloniki. When I came out of the plane there is no one to help me out with my flight, I was asking the ground staff and they talk to me in a rude and sarcastic manner because I dont speak Turkish. I was waiting in a very long line (100 people or more, all of them lost their connection flights) to change my ticket. My new ticket was at 20:15 evening and I had arrived at 9 am. I was waiting for 11 hours to go home! They take as at a hotel for almost 4 hours, the hotel and the ground staff had the worst attitude I have ever seen! They didn't show us any respect, long lines, no directions, no answers, no English, nothing except of rudeness. Now I'm home after 26 hours, instead of 14. For me Turkish is really the worst airline and has the worst ground stuff. Waste of money and time!",Detractor
" There is no online check in available in Tirana. Nonetheless, the check in process was smooth. All passengers have to be bused to the aircraft. This flight TK 1640 departed and arrived on time. This B737-800 aircraft had comfortable seating with plenty of legroom. The leg rests help. A light breakfast meal was served (a platter with turkey, dinner roll, sour cherry jam, almond cake, olives, cucumber and feta and white cheese). Although inflight TK Mobile Entertainment was available, I did not utilize it. The flight crew was very courteous and polite. This is the 3d time I've flown Turkish Airlines. I've yet to encounter any problems and would recommend this airline.",Promoter
" Cape Town to Sao Paulo via Istanbul. We applied and was granted ""free accommodation"" and stay over in Istanbul - never issued. This was a major reason we decided to use them they were not cheaper than SAA (direct flight) and the price we paid was to fly twice longer in and out. I contacted them many times over 9 months and just got promises, 4 days before our departure they still could not issue the vouchers and had to pay all ourselves. No feedback, no communication, nothing.",Detractor
" New York to Istanbul via Skopje. No care for being on time, worst airline ever to being on time. My first flight was 35 mins late for unknown reasons, I spent 9 hours waiting for the next available flight. As I was waiting I watched almost every Turkish Airlines that landed had passengers running off to malke it to their next flight. Then my next flight did not have us board till departure time, when it came to loading on the buses they had us wait 20 mins on a cramped bus without opening the doors. Some passengers had to use the emergency latch to open the doors so we can get some air. Then boarding the plane the captain notifies us that we are delayed and no reason with it. Late again to my final destination. Don't fly with Turkish Airlines!",Detractor
" Riyadh to Manila via Istanbul. Both flights were excellent especially Istanbul to Manila. Food was plentiful & delicious. Generous seat pitch with 3x3x3 configuration on B777 which is necessary for this 12 hour flight. Average inflight entertainment which for me, who doesn't use it much is OK. This flight is full but the crew did excellent in their job.",Promoter
" Belgrade to Kiev via Istanbul. Worst customer support service ever. They respond with automatically generated replies that has nothing to do with my questions and complaints. Also Miles&Smiles program is made for fools. I have been flying with Turkish airlines for 10 years, collecting miles and now there is no way I can use them before they expire! Can't buy reward ticket, can't upgrade my flying class, nor my bonus card class, can't shop in the aircraft and online. My bonuses are blocked and soon will expire for nothing. And this is the way they say Thank you for being their faithful customer for a decade!",Detractor
" London to Bangkok via Istanbul. London to Istanbul on A330, excellent in every way. Superb selection of videos which all worked well with no delays and annoying adverts at onset. Aircraft clean",Promoter
" At check-in in Johannesburg, I was told we could not board unless my wife and children had return tickets. They have EU Family visas and no return ticket is required. We were forced to purchase 3 tickets that were not needed at a cost of R27,000. The flight was delayed almost one hour due to a technical problem. Due to this delay we missed the connecting flight to Toulouse. Turkish Airlines staff were incredibly unhelpful and uncaring. The sales desk demanded I buy new tickets at a price of R40,000 ($2,800) and I refused. Customer service was pathetic. The helpline from the sales desk needed a Turkish speaker to understand the process. I was on the phone for over 30 minutes twice explaining what had happened, and was told to to wait a few hours. They would call or email me",Detractor
 Atlanta to Addis Ababa via Istanbul. Turkish Airlines delays bags for all passengers up 2 days and when you arrive you have to come back a day or two later to claim your bag. Worst airline I have ever flown. Bad customer service. I will never fly again. Avoid if possible.,Detractor
" Washington to Addis Ababa via Istanbul . Although the flight and flight crew on my trip from DC to Addis were lovely the crew, plane, food, and customer service on my return trip were horrendous. The food served between Istanbul and DC (return flight) was obviously spoiled and several people were sick as a result. The flight crew did nothing to reduce the impact (mess, smell) from this. The plane itself was dirty and several of the seats damaged in the economy class area. The restrooms (within the first 2-3 hours of the flight) ran out of toilet paper and the floors became covered in urine and worse. Upon arrival in DC my checked luggage was returned badly damaged (hard sided suitcase with a giant crack in the hard case). Turkish Airlines has refused to compensate me for the damage despite filing all the appropriate documents.",Detractor
"  Khartoum to Amsterdam via Istanbul. I was very disappointed with the airport service at Istanbul. The employee told me to go the transfer desk when arriving at Istanbul to get my boarding ticket for Amsterdam and when I went to the transfer desk an employee told me to go to the Denied boarding office because there weren't any seats. I went to the Denied boarding office when it was the last call for my flight due to the excessive delay in the security control. The security control was packed with more than hundreds of people and some even climbed over the fences and it was very chaotic. Anyways when I went to the office the employee then told me that I missed my flight and asked why I came here. I explained everything to him but the only response I got was to go back to the transfer desk. Then when I went back to the transfer desk, the other employee told me to go to the ticket sales desk. I was expecting them to arrange a seat in a flight today but when i went to the ticket sales desk, the employee said that there were no remaining seats and booked me a seat in the next day's flight and charged me 500 dollars when it was the airline's fault. The service was awful and the employees did not even know how to swiftly deal with such situations.",Detractor
" Berlin to Erbil via Istanbul. Over two hours into the flight to Erbil when I thought we were already descending, it was announced that we couldn't land and were heading back to Istanbul on account of fog. This meant a 24 hour wait in the airport until the next flight which then was delayed another 90min. Then after everyone had boarded, two buses pull up, ""flight is cancelled"". At this point I could no longer wait, and had to fly back to Berlin. My original return would have been the day before. I spent two hours at the Turkish Airlines transfer desk with a lot of insisting and nerves to finally get this changed at the last minute to the next plane on the same day. The services there was just awful (around 1300 on Dec. 19). Initially I was told, ""everything's ok, just sit there, and we will deliver the ticket to you."" But as time went on and no one came, I had to go back to the desk and basically start from scratch, dealing with altogether 5 or six officials who spoke hardly any English and were disorganised to the point of reminding one of headless chickens. Also 2 hours of free airport wifi per week (!) is just not enough for a traveler under these circumstances. And there was no option to buy more with a credit card.",Detractor
" London Gatwick - Istanbul - Tashkent Departed late. Never recovered but cumulated mode delay during flight instead. Cabin crew careless with connecting passengers. ""Don't worry - you will get it on time - be happy"" Breakfast served at 1 pm in the plane (probably cheaper than a lunch) ""entertainment"" looked like retro games on ZX spectrum. 2 hours delay at arrival. Crew didn't assist passengers in transit (actually we could have caught the connection if they had checked the status of the next flight which was 45 min late) Connection missed. Then we were refused a phone call to inform our contact in Tashkent. No WIFI. We were also refused information on our passengers rights. At the airport horrible staff - don't speak any other language than Turkish, shout at you (in case your lack of understanding came from deafness), rude, careless, etc. Overcrowded passport control with locals cheating the queue. Next step : 3 hours queue for the hotel transfer. Again no assistance from TK staff. Not even a glass of water. 11 pm, we finally arrive at the hotel - 1 room for 4 (children don't count in that case, even if they pay a full ticket like adults), No dinner! Can something be done to force TK remove the mention ""Best Europe's airline"" from their ads? For instance, Aeroflot is much better. Never again. Should have travelled via Moscow (much more welcoming and professional)",Detractor
" Amsterdam to Abu Dhabi via Istanbul. Delays, delays and more delays. That sums up the experience with Turkish Airlines. Long queues at the check-in desk. Slow processes. Delays in flight schedule from AMS to IST. Late arrival at IST airport. Further delays from IST to AUH. And arriving at Abu Dhabi Airport our suitcases were missing. After a delay of two days the luggage finally arrived at our hotel. We had to buy for 550 euro clothing, underwear, swimwear, footwear, toiletries to rescue us through the first two days of our holiday. Turkish compensated only 170 euro. A disgrace. Never again will we travel with this airline.",Detractor
 Istanbul to Johannesburg. Our flight on 30 December (TK0038) was cancelled and we had to connect with their ticket office to finalise a flight for 31 December (TK0042). We paid $79 per seat for 4 people (Seats 6 A/B and 6 J/K) Only A/B was allocated to us which my son and I used because of legroom. My wife and daughter was moved to 27E/F. We flew in from Heathrow the day before on 29 Dec for that 30 Dec connection but due to the postponement was forced to find accommodation and Turkish Airlines was aware of our trip from Heathrow yet they refused to assist with meals or accommodation. That was an extra 300 Euros and I have not heard anything re my 2 x $79 seat cost loss. Never again!,Detractor
" Johannesburg to Istanbul. We were well taken care of by the cabin crew, service was near perfection. The food was delicious with lots of varieties available. Everything was on time. Great movie selections. Smooth lift off and landing",Promoter
"  Taipei to Sao Paulo via Istanbul. Worst service I had in my life! As Elite Plus even I was flying economy I have access to Business Class Lounge in any domestic or international flight flying Turkish, what was denied in Taipei my entrance. When I arrive at my seat someone was already seated, they changed me seat, and later I couldn't access internet, need to use from my miles. During flight other passengers in Business Class Received amenity kit and I didn't. I used miles for upgrade both ways and they gave boarding pass just for first sector, I asked Purser about the amenity and as well my ticket second sector because in a previous flight I had same bad experience. They said you should do a feedback form. Waiting answer until now. They used more miles than the top limit on their system that is 75000 miles from Far East to South America, they deducted 100.000 miles. They damage my luggage on arrival. The asked invoice from the luggage I had, and denied payment saying the luggage is fixable, just come and fix for me. The miles accrued was to be 100% on the fare I bought they gave me around 50%. Amazing company!",Detractor
" Chicago to Athens via Istanbul. This was the worst airline I have flown with. I booked my tickets last minute, it was for me and my 4 month old son. I had 3 suitcases a stroller and 2 carryons. I had paid for the suitcases, but because I was traveling alone I went there with my husband and he politely asked if they could please take the carryons on the plane because she can't carry everything by herself. The manager came out and said that we have to pay. I said I already paid extra for my suitcases please help us because my wife is carrying our son, the diaper bag and 2 carryons. He was rude stating that we have to pay each carryon. We didn't have the extra money and my wife took everything with her. If that's how Turkish Airline treats their customers, they shouldn't be operating. It was the last time I use this airline. No dignity or humanity, it's all only about the money. And when I took the stroller with my son. They made me package the stroller by myself looking that I had my son on me crying and when I asked for help they said that they can't help me... unbelievable... they see me with 2 carryons a stroller and a baby and they can't help me.",Detractor
